gene.name	score
PTEN	133.226573951183
TNRC6B	55.369456474623
ATXN1L	49.5887672819109
NUFIP2	47.0071668020931
UBN2	44.045924059106
PURA	43.2994371155019
TNRC6A	42.168395332909
TAOK1	42.093070270164
G3BP1	40.5615305205676
MTF1	39.4861691869626
RNF38	39.484154101534
KLHL15	38.0671734948504
CFL2	38.052362448748
FBXO28	37.6932677442517
UHMK1	37.3982691403401
EXOC5	36.9683568087026
BRWD3	36.918579009467
UBE2W	36.6012766486748
SECISBP2L	36.4688403808095
DICER1	35.9871743969975
CLOCK	35.9217382188923
AGFG1	35.894339106045
USP31	35.0641290598471
RAB11FIP2	34.8453410631567
SLC4A7	34.5803885138335
REEP3	34.517085744119
SERBP1	34.2214004740171
TMEM106B	33.3123344423671
SOGA1	33.1643900896763
TROVE2	32.9443478952443
RPS6KA5	32.4062353442079
ZBTB10	32.0650352727298
SMAD5	31.9078195729961
FXR1	31.5077709437596
BRAF	31.4365506653107
DCP1A	31.2983908530457
SLC38A2	31.1186420334449
LCOR	31.0519239359537
ELK4	30.9499879249932
MECP2	30.8500355289728
ENPP4	30.8134437947406
FAM160B1	30.5805137074768
BRWD1	30.3806383037515
E2F7	30.3251774140878
ZBTB18	30.2894884579345
ATXN1	30.2777312126958
RAP1B	29.929298083869
ZNF367	29.886917790536
DCBLD2	29.7175583696949
ZMAT3	29.685773997442
LARP4	29.6227808451474
SYNCRIP	29.5787415052994
PAFAH1B2	29.4389177147714
HCFC2	29.3924128894798
CYLD	29.3315367044395
TNPO1	29.2815520065371
BCL2L11	29.2811281568551
YOD1	29.1608090111355
ETNK1	29.0529896140063
AGO1	29.0429629956283
MINDY2	28.986490196564
KLHL42	28.9051594745792
MIER3	28.8636737227796
CBFB	28.7554955170009
DYRK2	28.7045037101974
CDK6	28.5372089135055
CACUL1	28.3663360609672
ANKIB1	28.1514631364838
ARHGAP12	27.9557486354998
DUT	27.8233578137389
C5orf24	27.7568345829353
SIX4	27.5735056547778
STYX	27.5701867969811
SEL1L3	27.5435133406498
PHF12	27.504267113569
MDFIC	27.456766780646
JARID2	27.3548087949906
RAP2C	27.3101723634913
CSNK1A1	27.278565954573
GAN	27.1937165075448
XIAP	27.1856621251907
CAND1	26.905919152406
DYNC1LI2	26.8917659812129
SMURF2	26.7374129851232
UBE2K	26.6947181751214
SOCS6	26.6772817049621
MAPK6	26.5940436362056
STOX2	26.5722308535425
PPP1R15B	26.4827070514044
DCP2	26.4503184061102
MIGA1	26.4164667669948
ACSL4	26.2854645004754
PURB	26.2836059006387
NFIA	26.2810023867835
RAB8B	26.1825817140403
ATF7	26.1823508786464
KMT2A	26.084566540313
SOX4	26.083712633803
REST	26.0264053431261
PLEKHB2	25.918177079167
BMPR2	25.8254525321844
PDZD8	25.8060902440416
RAB21	25.7491877186011
TMOD3	25.6484283108245
TNRC6C	25.617699470263
ATP11A	25.583698955879
CLIP1	25.5096512987724
ARPP19	25.480597954732
SESN3	25.4494825791383
FICD	25.4103639941107
SERINC3	25.4034772207486
FMR1	25.3606502954054
FZD6	25.26900918125
BTBD7	25.0695489079087
SLAIN1	25.0633559159258
AGO3	25.0327314459723
JMY	24.8256882358354
EFR3A	24.6702824627875
ZNF217	24.6616192296576
RIF1	24.5000137925274
GCC2	24.3844267236442
G3BP2	24.3699377644501
KATNAL1	24.3105373457249
SMG1	24.0815382949391
YTHDF1	24.0703062509871
ZNF12	24.0484927376156
INO80D	24.0172288827819
PDCD10	23.9927846007256
STK35	23.9355250703169
PPTC7	23.7370729091668
GRB10	23.7080280606126
TWF1	23.670362803367
WEE1	23.6216583305284
ZNF451	23.6162401106023
CCNT2	23.3959012189299
EDEM1	23.35433815928
WASL	23.341974682697
WNK1	23.3365038521589
CPEB2	23.322315295058
CPD	23.3079846879162
DDX3X	23.301202968076
RFX7	23.2976049738691
GMFB	23.2332537378558
RLIM	23.1899679956957
SPRED1	23.1294252016172
MIGA2	23.0808845872337
RASA1	23.0639003239928
GPBP1	23.057020506665
RPL15	23.0162726896915
RAB14	22.9012606262423
SKIL	22.8595356154605
TANC1	22.7559721038316
CNOT4	22.6589641790132
KLF10	22.5695624484472
